ID,Texte,Note,Date
1,"Le service était excellent et la nourriture délicieuse. Je recommande vivement ce restaurant !",5,2023-01-15
2,"La nourriture était bonne, mais le service était un peu lent.",4,2023-02-03
3,"Très déçu par ce restaurant. La nourriture n'était pas bonne et le service était médiocre.",2,2023-03-20
4,"Un excellent choix pour un dîner en famille. Les plats étaient savoureux et le personnel très accueillant.",5,2023-04-12
5,"Le restaurant est bien situé, mais la nourriture n'était pas à la hauteur de mes attentes.",3,2023-05-08
6,"J'ai adoré l'ambiance et la qualité des plats. Je reviendrai sans hésiter !",5,2023-06-14
7,"Le service était correct, mais la nourriture n'avait rien d'exceptionnel.",3,2023-07-05
8,"Une expérience culinaire incroyable ! Tout était parfait, du service à la nourriture.",5,2023-08-22
9,"Le restaurant est propre et bien décoré, mais la nourriture manquait de saveur.",3,2023-09-11
10,"Un endroit idéal pour une soirée romantique. La nourriture et le service étaient impeccables.",5,2023-10-04
